Infrastructure Type,Infrastructure Name,Road Location,Two Way Travel,Length,ID,Location
Multiuse path,Near Grant Av,Off Road,true,620,W211946,"MULTILINESTRING ((-97.23934866455569 49.85840685138773, -97.23931935887077 49.858389673689295, -97.23929193888063 49.85838003547061, -97.23926172557829 49.85837497553406, -97.23917647374361 49.85837053299945, -97.23910143467353 49.85836662335978, -97.23851596546612 49.85834717362375, -97.23810185577841 49.85833385302153, -97.23766038348198 49.85832007888641, -97.23708730051986 49.85830003849887, -97.23659062948472 49.85828965548899, -97.23633698761823 49.85828678814651, -97.23565189081779 49.85826873478085, -97.23532169120493 49.858254851111745, -97.23483203391407 49.85823895627492, -97.23470178134916 49.858234219937046, -97.23455861388132 49.8582220088763, -97.23385938931902 49.85819910717065, -97.23384978229004 49.8581987925644, -97.23375022648256 49.85819584160148, -97.233222214943 49.85817589146846, -97.2330467715591 49.85816660640488, -97.2328710050096 49.858160384339946, -97.23238205345419 49.858143420395166, -97.23206211977173 49.8581320865605, -97.23174187403211 49.858125417281265, -97.23159242304152 49.858122003629916, -97.23144318756201 49.8581158127216, -97.23082500005987 49.8580967593931, -97.23081629031601 49.85809671638849, -97.23080758231585 49.85809685420923, -97.23079888582625 49.85809717210493, -97.23079020919057 49.858097670202945, -97.23078156220856 49.85809834685388, -97.23077295319078 49.85809920308408, -97.23076439057915 49.85810023632398, -97.23075588410768 49.85810144672215))"
Spur route,Near Wellington Cr,Off Road,true,85,W4221,"MULTILINESTRING ((-97.1873130328935 49.877236980146385, -97.18693370182862 49.87722854840968, -97.18685761339064 49.877227117133316, -97.1868042859272 49.87722715948133, -97.18678149274093 49.87722717757424, -97.18670540952861 49.8772287281235, -97.18657299435958 49.87723186733748, -97.18644050850386 49.877233289047346, -97.18639934261887 49.87723391863526, -97.18635823452655 49.87723545760828, -97.1863172316568 49.87723790311065, -97.18627638140583 49.87724125318561, -97.18623573266208 49.87724550320137, -97.18619533288924 49.877250649403365, -97.18615522829464 49.877256684419464, -97.18613493767197 49.87725937572185))"
Multiuse path,Near Inkster Bv,Off Road,true,6,W212649,"MULTILINESTRING ((-97.21285908684882 49.946093134993546, -97.21282195406532 49.946093120454876, -97.21282217925011 49.94606676597584))"
Multiuse path,Near North Town Rd,Off Road,true,99,W103094,"MULTILINESTRING ((-97.19090908792694 49.79945123969957, -97.19095558175668 49.7994236271442, -97.191046145339 49.7993728810442, -97.19113966722726 49.79932443523013, -97.19123600805248 49.79927836189316, -97.19133502424637 49.79923472968891, -97.1914365682551 49.79919360363526, -97.19154048875929 49.79915504501543, -97.19164663089934 49.799119111286714, -97.19175483650628 49.79908585599486, -97.19186494433725 49.799055328694386, -97.1919767903159 49.79902757487463, -97.19209020777662 49.799002635892144))"
Spur route,Bunn's Creek Trail,Off Road,true,26,W531,"MULTILINESTRING ((-97.05877676253009 49.94987890159671, -97.0586980005501 49.94990133254409, -97.05864637446938 49.94991782365065, -97.05860090313071 49.94993380881867, -97.05856161101357 49.949948679502626, -97.05854003587072 49.949957148225195, -97.05851503742115 49.94996860443862, -97.05847616219597 49.95000229060396))"
Multiuse path,Near Waverley St,Off Road,true,3,W214416,"MULTILINESTRING ((-97.18846212631153 49.77892571165615, -97.1884474254362 49.7789040156535))"
Spur route,Near Jolliett Cr,Off Road,true,38,W113348,"MULTILINESTRING ((-97.29652322724924 49.874386678200885, -97.29655808679466 49.87404388682236))"
Spur route,Near McCurdy St,Off Road,true,4,W60959,"MULTILINESTRING ((-97.1490893161719 49.94140926127848, -97.14903950193874 49.941393027179714))"
Spur route,Near McCurdy St,Off Road,true,69,W58926,"MULTILINESTRING ((-97.14994965100514 49.941689638280124, -97.1490893161719 49.94140926127848))"
Spur route,Near McGill Pl,Off Road,true,32,W213136,"MULTILINESTRING ((-97.14829012740938 49.79776178978821, -97.1481090810281 49.798023169742905))"
Spur route,Near Tudor Cr,Off Road,true,69,W110519,"MULTILINESTRING ((-97.07950685228334 49.909310453951335, -97.078650630803 49.90902546277886))"
Protected bike lane,On Bannatyne Av,On Road,false,66,W218846,"MULTILINESTRING ((-97.1401777192802 49.89791176863033, -97.14045299819193 49.898086025158186, -97.1405899685535 49.898134768112826, -97.1408581932242 49.898223583039574, -97.14092012837396 49.898253810669544))"
Spur route,Near McConnell Rd,Off Road,true,48,W220997,"MULTILINESTRING ((-97.2214376285565 49.82695661897573, -97.22100041152697 49.82662567264076))"
